ChangeTypeStrict,참조번호,조명,내용_old,내용_new
Modified,제9조의4제②항,공매도호가의 사후관리,② 거래소는 회원에게 제1항에 따라 위탁자가 소유하지 아니한 증권 또는 결제일까지 결제가 가능하지 아니한 증권을 매도하였는지 여부를 확인한 내용 및 관련 자료를 제출하도록 요청할 수 있다. <개정 2012. 9. 19.>,② 제1항에도 불구하고 법 시행령 제208조의7제2항제1호라목에 따른 조치를 해야 하는 법인의 매매거래에 대해서는 제1항을 적용하지 아니한다.<신설 2026. 1. 28.>
Modified,제9조의4제③항,공매도호가의 사후관리,"③ 거래소는 제2항에 따라 회원으로부터 제출받은 회원의 확인내용과 관련 자료 및 감리 등을 통해 위탁자가 최근 6개월 동안 소유하지 아니한 증권 또는 결제일까지 결제가 가능하지 아니한 증권을 매도한 사실을 확인한 경우 또는 금융위원회로부터 위탁자의 법 제180조제1항 위반 사실을 통보받은 경우에는 다음 각 호의 어느 하나에 해당하는 내용 및 그에 해당하는 위탁자 정보를 관련된 회원에게 통보할 수 있다. 이 경우 통보받은 회원은 이를 다른 회원에게 즉시 통보하여야 한다. <개정 2012. 9. 19., 2017. 2. 8., 2018. 12. 5.>",③ 거래소는 회원에게 제1항에 따라 위탁자가 소유하지 아니한 증권 또는 결제일까지 결제가 가능하지 아니한 증권을 매도하였는지 여부를 확인한 내용 및 관련 자료를 제출하도록 요청할 수 있다.<개정 2012. 9. 19.>
Deleted,제9조의4제③항제1호,공매도호가의 사후관리,다음 각 목의 어느 하나에 해당하는 경우 : 40일 동안 해당 위탁자의 차입공매도 주문을 수탁하는 경우 매도증권의 사전납부를 확인할 것,
Deleted,제9조의4제③항제1호가목,공매도호가의 사후관리,가. 소유하지 아니한 증권 또는 결제일까지 결제가 가능하지 아니한 증권을 매도한 날(이하 “매도일수”라 한다)이 1일이고 매도한 금액의 합계금액(이하 “누적매도금액”이라 한다)이 5억원 초과 10억원 이하인 경우,
Deleted,제9조의4제③항제1호나목,공매도호가의 사후관리,나. 매도일수가 2일 이상 4일 이하이고 누적매도금액이 5억원 이하인 경우,
Deleted,제9조의4제③항제2호,공매도호가의 사후관리,다음 각 목의 어느 하나에 해당하는 경우 : 80일 동안 해당 위탁자의 차입공매도 주문을 수탁하는 경우 매도증권의 사전납부를 확인할 것,
Deleted,제9조의4제③항제2호가목,공매도호가의 사후관리,가. 매도일수가 1일이고 누적매도금액이 10억원 초과인 경우,
Deleted,제9조의4제③항제2호나목,공매도호가의 사후관리,나. 매도일수가 2일 이상 4일 이하이고 누적매도금액이 5억원 초과 10억원 이하인 경우,
Deleted,제9조의4제③항제2호다목,공매도호가의 사후관리,다. 매도일수가 5일 이상이고 누적매도금액이 5억원 이하인 경우,
Deleted,제9조의4제③항제3호,공매도호가의 사후관리,다음 각 목의 어느 하나에 해당하는 경우 : 120일 동안 해당 위탁자의 차입공매도 주문을 수탁하는 경우 매도증권의 사전납부를 확인할 것,
Deleted,제9조의4제③항제3호가목,공매도호가의 사후관리,가. 매도일수가 2일 이상 4일 이하이고 누적매도금액이 10억원 초과인 경우,
Deleted,제9조의4제③항제3호나목,공매도호가의 사후관리,나. 매도일수가 5일 이상이고 누적매도금액이 5억원 초과 10억원 이하인 경우,
Deleted,제9조의4제③항제4호,공매도호가의 사후관리,매도일수가 5일 이상이고 누적매도금액이 10억원 초과인 경우 : 120일 동안 매도증권의 사전납부를 확인할 것,
Modified,제9조의4제④항,공매도호가의 사후관리,"④ 제3항은 위탁자가 법 제180조의2제1항의 보고의무 또는 법 제180조의3제1항의 공시의무를 위반하였음을 금융위원회가 거래소에 통보한 경우에 준용한다. 다만, 제3항 각 호 외의 부분 중 “최근 6개월 동안”은 그러하지 아니하다. <신설 2012. 9. 19., 2016. 6. 8., 2017. 2. 8.>","④ 거래소는 제3항에 따라 회원으로부터 제출받은 회원의 확인내용과 관련 자료 및 감리 등을 통해 위탁자가 최근 6개월 동안 소유하지 아니한 증권 또는 결제일까지 결제가 가능하지 아니한 증권을 매도한 사실을 확인한 경우 또는 금융위원회로부터 위탁자의 법 제180조제1항 위반 사실을 통보받은 경우에는 다음 각 호의 어느 하나에 해당하는 내용 및 그에 해당하는 위탁자 정보를 관련된 회원에게 통보할 수 있다. 이 경우 통보받은 회원은 이를 다른 회원에게 즉시 통보하여야 한다.<개정 2012. 9. 19., 2017. 2. 8., 2018. 12. 5.,2026. 1. 28.>"
Modified,제9조의4제⑤항,공매도호가의 사후관리,"⑤ 제4항에서 제3항을 준용하는 때에 제3항 각 호의 “매도일수”는 각각 “법 제180조의2제1항의 보고의무 또는 법 제180조의3제1항의 공시의무를 위반한 일수”로, “누적매도금액”은 각각 “법 제180조의2제1항의 보고의무 또는 법 제180조의3제1항의 공시의무를 위반한 금액의 일평균금액”으로 본다. <신설 2012. 9. 19., 2016. 6. 8., 2017. 2. 8.>","⑤ 제4항은 위탁자가 법 제180조의2제1항의 보고의무 또는 법 제180조의3제1항의 공시의무를 위반하였음을 금융위원회가 거래소에 통보한 경우에 준용한다. 다만, 제4항 각 호 외의 부분 중 “최근 6개월 동안”은 그러하지 아니하다.<신설 2012. 9. 19., 2016. 6. 8., 2017. 2. 8.,개정 2026. 1. 28.>"
Modified,제9조의4제⑥항,공매도호가의 사후관리,⑥ 그 밖에 공매도호가의 사후관리에 관하여 필요한 사항은 세칙으로 정한다. [본조신설 2009. 3. 4.],"⑥ 제5항에서 제4항을 준용하는 때에 제4항 각 호의 “매도일수”는 각각 “법 제180조의2제1항의 보고의무 또는 법 제180조의3제1항의 공시의무를 위반한 일수”로, “누적매도금액”은 각각 “법 제180조의2제1항의 보고의무 또는 법 제180조의3제1항의 공시의무를 위반한 금액의 일평균금액”으로 본다.<신설 2012. 9. 19., 2016. 6. 8., 2017. 2. 8.,개정 2026. 1. 28.>"
