구분,장번호,장명,절번호,절명,참조번호,조명,조,항,호,목,내용
조,1,총칙,,,제1조,목적,제1조,0,0,0,이 세칙은 「시장감시규정」의 시행에 관하여 필요한 사항을 규정함을 목적으로 한다.<개정 2020. 3. 18.>
조,1,총칙,,,제2조,정의,제2조,0,0,0,이 세칙에서 사용하는 용어의 정의는 「시장감시규정」(이하 “규정”이라 한다)이 정하는 바에 의한다.<개정 2020. 3. 18.>
항,2,시장의 건전성 유지,,,제2조의2제①항,예방조치요구 등의 대상선정 및 방법,제2조의2,①,0,0,"① 규정 제5조 제4항에 따라 위원회는 시장감시위원장(이하 “위원장”이라 한다)이 정하는 기준에 해당하는 계좌와 관련된 회원에게 장중 건전주문 안내 및 예방조치에 대한 요구를 할 수 있다. 이 경우 다음 각 호의 어느 하나에 해당하는 경우에는 주문수탁의 거부예고 이상의 예방조치에 대한 요구를 할 수 있다.<개정 2012. 3. 8., 2014. 7. 31., 2022. 11. 23., 2023. 2. 8.>"
호,2,시장의 건전성 유지,,,제2조의2제①항제1호,예방조치요구 등의 대상선정 및 방법,제2조의2,①,1,0,투자경고종목 또는 투자위험종목에 관여하여 예방조치요구를 받는 경우
호,2,시장의 건전성 유지,,,제2조의2제①항제2호,예방조치요구 등의 대상선정 및 방법,제2조의2,①,2,0,이상급등종목에 관여하여 예방조치요구를 받는 경우
호,2,시장의 건전성 유지,,,제2조의2제①항제3호,예방조치요구 등의 대상선정 및 방법,제2조의2,①,3,0,"불건전 매매양태의 반복, 계좌의 과거 불건전 매매 이력, 과도한 주가 변동 등을 감안할 때 불공정거래에 해당할 우려가 높다고 판단되어 예방조치요구를 받는 경우"
항,2,시장의 건전성 유지,,,제2조의2제②항,예방조치요구 등의 대상선정 및 방법,제2조의2,②,0,0,"② 제1항에 따른 장중 건전주문 안내 또는 예방조치를 요구받은 회원은 위원회가 정하는 바에 따라 해당 고객에게 장중 건전주문 안내 또는 경고, 주문수탁의 거부예고, 주문수탁의 거부 등 불공정거래의 예방을 위한 적절한 조치를 하여야 한다.<개정 2012. 3. 8., 2014. 7. 31., 2018. 12. 11., 2023. 2. 8.>"
호,2,시장의 건전성 유지,,,제2조의2제②항제1호,예방조치요구 등의 대상선정 및 방법,제2조의2,②,1,0,삭제<2023. 2. 8.>
호,2,시장의 건전성 유지,,,제2조의2제②항제2호,예방조치요구 등의 대상선정 및 방법,제2조의2,②,2,0,삭제<2023. 2. 8.>
호,2,시장의 건전성 유지,,,제2조의2제②항제3호,예방조치요구 등의 대상선정 및 방법,제2조의2,②,3,0,삭제<2023. 2. 8.>
