구분,장번호,장명,절번호,절명,참조번호,조명,조,항,호,목,내용
조,,,,,제7조의5,,제7조의5,0,0,0,제2항제4호 중 “15점”을 “10점”으로 한다.
조,,,,,제12조,,제12조,0,0,0,제3항제1호다목 중 “관리종목 지정 또는 상장폐지”를 “상장폐지”로 한다.
조,,,,,제14조의2,,제14조의2,0,0,0,제2항 단서 중 “제47조에 따라 관리종목으로 지정”을 “제48조에 따른 상장적격성 실질심사 기준에 해당”으로 한다.
항,,,,,제16조제⑥항,,제16조,⑥,0,0,"⑥ 제25조제5호 본문에 따른 당일 공시시한 이후에는 다음 각 호의 어느 하나에 해당하는 풍문 또는 보도 등을 확인하는 경우 규정 제40조제1항제4호에 따라 매매거래를 정지할 수 있다. 다만, 제3호부터 제5호까지의 경우 해당 사항이 상장규정에 따른 상장폐지 기준에 해당하지 아니하는 것으로 인정되는 경우는 제외한다."
호,,,,,제16조제⑥항제1호,,제16조,⑥,1,0,발행한 어음 또는 수표의 부도발생이나 은행과의 당좌거래정지 또는 금지
호,,,,,제16조제⑥항제2호,,제16조,⑥,2,0,"회생절차개시신청, 회생절차개시신청 기각, 회생절차개시결정 취소, 회생계획 불인가, 회생절차폐지의 결정 등"
호,,,,,제16조제⑥항제3호,,제16조,⑥,3,0,"최근 사업연도 감사보고서의 감사의견 부적정, 의견거절 또는 감사범위 제한으로 인한 한정"
호,,,,,제16조제⑥항제4호,,제16조,⑥,4,0,임직원의 횡령·배임에 대한 검찰 기소 등
호,,,,,제16조제⑥항제5호,,제16조,⑥,5,0,회계처리기준 위반으로 인한 금융위원회·증권선물위원회의 검찰 고발·통보 조치 의결 또는 검찰 기소
조,,,,,제24조,,제24조,0,0,0,제5항 단서 중 “관리종목으로 지정”을 “상장적격성 실질심사 기준에 해당”으로 한다. 부 칙 이 세칙은 2026년 9월 14일부터 시행한다. 신구조문대비표 <표>
