구분,장번호,장명,절번호,절명,참조번호,조명,조,항,호,목,내용
조,1,총칙,,,제1조,목적,제1조,0,0,0,이 세칙은 「유가증권시장 업무규정」(이하 “규정”이라 한다)의 시행에 관하여 필요한 사항을 규정함을 목적으로 한다. <개정 2009. 7. 16.>
조,1,총칙,,,제2조,정의,제2조,0,0,0,이 세칙에서 사용하는 용어의 뜻은 다음과 같다. <개정 2023. 4. 12.>
호,1,총칙,,,제2조제1호,정의,제2조,0,1,0,“코스피200”이란 유가증권시장에 상장된 주권 중 200종목에 대하여 기준일인 1990년 1월 3일의 지수를 100포인트로 하여 거래소가 산출하는 시가총액방식의 주가지수를 말한다.
호,1,총칙,,,제2조제2호,정의,제2조,0,2,0,“섹터지수”란 유가증권시장에 상장된 주권을 대상으로 산업군별 또는 유형별로 구분하여 산출하는 지수를 말한다.
호,1,총칙,,,제2조제3호,정의,제2조,0,3,0,"“시가기준가종목”이란 별표 1에 따른 최저호가가격 및 최고호가가격 이내의 호가 범위에서 규정 제37조제1항에 따라 결정되는 최초의 가격을 그 날의 기준가격으로 하는 종목을 말하며, 다음 각 목과 같이 구분한다."
목,1,총칙,,,제2조제3호가목,정의,제2조,0,3,가,가. 재상장종목 및 변경상장종목
목,1,총칙,,,제2조제3호나목,정의,제2조,0,3,나,"나. 「자본시장과 금융투자업에 관한 법률」(이하 “법”이라 한다) 제9조제18항제2호의 투자회사가 발행한 주권(이하 “투자회사주권”이라 한다), 「부동산투자회사법」에 따른 부동산투자회사주권 및 「선박투자회사법」에 따른 선박투자회사주권으로서 거래소에 신고한 주당 분배 또는 배당금액이 제132조제1항에 따른 기준일의 2매매거래일 전일의 가격제한폭을 초과하는 종목"
목,1,총칙,,,제2조제3호다목,정의,제2조,0,3,다,다. 자본금감소[소액주주(「유가증권시장 공시규정」 제2조제19항에 따른 소액주주를 말한다. 이하 같다)를 대상으로 하는 주식병합 또는 주식소각에 따라 자본금이 감소하는 경우를 말한다. 이하 같다] 종목
목,1,총칙,,,제2조제3호라목,정의,제2조,0,3,라,라. 병합 또는 분할된 상장지수증권
목,1,총칙,,,제2조제3호마목,정의,제2조,0,3,마,마. 30매매거래일이상 매매거래가 중단 또는 정지된 후 매매거래를 재개하는 종목
호,1,총칙,,,제2조제4호,정의,제2조,0,4,0,“재상장종목”이란 상장폐지된 법인·주권상장법인의 분할 또는 분할합병에 따라 설립된 법인·주권상장법인간의 합병에 따라 설립된 법인이 발행한 주권으로서 「유가증권시장 상장규정」 제42조에 따라 재상장되는 주권(종류주식을 포함한다)을 말한다.
호,1,총칙,,,제2조제5호,정의,제2조,0,5,0,“변경상장종목”이란 주권상장법인의 분할 또는 분할합병 후 존속하는 법인(「상법」 제530조의12에 따른 물적분할 후 존속하는 법인을 제외한다)이 발행한 주권을 말한다.
호,1,총칙,,,제2조제6호,정의,제2조,0,6,0,“합병상장종목”이란 「유가증권시장 상장규정」 제2조제1항제25호에 따른 기업인수목적회사와 주권상장법인이 아닌 법인이 「유가증권시장 상장규정」 제76조의2에 따라 합병상장한 종목을 말한다. [전문개정 2021. 3. 12.]
조,1,총칙,,,제3조,최유리지정가호가의 가격,제3조,0,0,0,규정 제2조제4항제4호에서 “세칙이 정하는 가격”이라 함은 다음 각 호의 가격을 말한다. <개정 2025. 2. 27.>
호,1,총칙,,,제3조제1호,최유리지정가호가의 가격,제3조,0,1,0,"매도의 최유리지정가호가의 경우 해당 호가의 접수시점에서 가장 높은 매수호가(중간가호가로 제출된 매수호가를 제외한다. 이하 이 조에서 같다)의 가격. 다만, 매수호가가 없는 때에는 가장 낮은 매도호가(중간가호가로 제출된 매도호가를 제외한다. 이하 이 조에서 같다)의 가격보다 1호가가격단위 낮은 가격(하한가를 한도로 한다)으로 하고, 매도호가와 매수호가가 없는 때에는 직전의 가격(그 가격이 호가가격단위와 일치하지 않는 경우에는 그 가격보다 낮고 호가가격단위와 일치하는 가격 중 그 가격에 가장 가까운 가격으로 한다)으로 한다. <개정 2025. 2. 27.>"
호,1,총칙,,,제3조제2호,최유리지정가호가의 가격,제3조,0,2,0,"매수의 최유리지정가호가의 경우 해당 호가의 접수시점에서 가장 낮은 매도호가의 가격. 다만, 매도호가가 없는 때에는 가장 높은 매수호가의 가격보다 1호가가격단위 높은 가격(상한가를 한도로 한다)으로 하고, 매도호가와 매수호가가 없는 때에는 직전의 가격(그 가격이 호가가격단위와 일치하지 않는 경우에는 그 가격보다 높고 호가가격단위와 일치하는 가격 중 그 가격에 가장 가까운 가격으로 한다)으로 한다. <개정 2025. 2. 27.>"
조,1,총칙,,,제4조,최우선지정가호가의 가격,제4조,0,0,0,규정 제2조제4항제5호에서 “세칙이 정하는 가격”이라 함은 다음 각 호의 가격을 말한다. <개정 2025. 2. 27.>
호,1,총칙,,,제4조제1호,최우선지정가호가의 가격,제4조,0,1,0,"매도의 최우선지정가호가의 경우 해당 호가의 접수시점에서 가장 낮은 매도호가(중간가호가로 제출된 매도호가를 제외한다. 이하 이 호에서 같다)의 가격. 다만, 매도호가가 없는 때에는 직전의 가격(그 가격이 호가가격단위와 일치하지 않는 경우에는 그 가격보다 높고 호가가격단위와 일치하는 가격 중 그 가격에 가장 가까운 가격으로 한다)으로 한다. <개정 2025. 2. 27.>"
호,1,총칙,,,제4조제2호,최우선지정가호가의 가격,제4조,0,2,0,"매수의 최우선지정가호가의 경우 해당 호가의 접수시점에서 가장 높은 매수호가(중간가호가로 제출된 매수호가를 제외한다. 이하 이 호에서 같다)의 가격. 다만, 매수호가가 없는 때에는 직전의 가격(그 가격이 호가가격단위와 일치하지 않는 경우에는 그 가격보다 낮고 호가가격단위와 일치하는 가격 중 그 가격에 가장 가까운 가격으로 한다)으로 한다. <개정 2025. 2. 27.>"
조,1,총칙,,,제4조의2,중간가호가의 가격,제4조의2,0,0,0,규정 제2조제4항제7호에서 “세칙으로 정하는 가격”이란 복수가격에 의한 개별경쟁매매를 하는 시간의 최우선매도호가의 가격과 최우선매수호가의 가격을 단순산술평균한 가격(1원 미만은 절사한다. 이하 “중간가격”이라 한다)을 말한다. [신설 2025. 2. 27.]
조,1,총칙,,,제4조의3,스톱지정가호가의 지정가호가로의 효력 발생 요건,제4조의3,0,0,0,규정 제2조제4항제8호에서 “세칙으로 정하는 요건”이란 다음 각 호의 구분에 따른 요건을 말한다.
호,1,총칙,,,제4조의3제1호,스톱지정가호가의 지정가호가로의 효력 발생 요건,제4조의3,0,1,0,매도 스톱지정가호가의 경우 직전의 체결가격(직전의 체결가격이 없는 경우에는 기준가격으로 한다. 이하 이 조에서 같다)이 규정 제2조제4항제8호에 따른 스톱가격(이하 “스톱가격”이라 한다)과 같거나 낮을 것
호,1,총칙,,,제4조의3제2호,스톱지정가호가의 지정가호가로의 효력 발생 요건,제4조의3,0,2,0,매수 스톱지정가호가의 경우 직전의 체결가격이 스톱가격과 같거나 높을 것 [신설 2025. 2. 27.]
조,1,총칙,,,제5조,삭제,제5조,0,0,0,제5조 삭제 <2019. 7. 11.>
조,1,총칙,,,제6조,삭제,제6조,0,0,0,제6조 삭제 <2019. 7. 11.>
조,1,총칙,,,제6조의2,삭제,제6조의2,0,0,0,제6조의2 삭제 <2010. 7. 29.>
조,1,총칙,,,제6조의3,기세 불인정 종목,제6조의3,0,0,0,"규정 제2조제9항에서 “세칙으로 정하는 기준”이란 당일의 종류주식의 기준가격이 해당 보통주식의 기준가격을 1. 5배 초과하는 것을 말한다. <개정 2012. 4. 20., 2020. 9. 22.> [본조신설 2009. 12. 30.]"
항,1,총칙,,,제6조의4제①항,지수차익거래의 정의 및 형태<개정 2021. 3. 12.>,제6조의4,①,0,0,"① 규정 제2조제21항제1호에서 “세칙으로 정하는 지수”란 다음 각호의 어느 하나에 해당하는 지수(이하 “지수차익거래대상지수”라 한다)를 말한다. <개정 2019. 7. 11., 2021. 3. 12.>"
호,1,총칙,,,제6조의4제1호,지수차익거래의 정의 및 형태<개정 2021. 3. 12.>,제6조의4,①,1,0,코스피200
호,1,총칙,,,제6조의4제2호,지수차익거래의 정의 및 형태<개정 2021. 3. 12.>,제6조의4,①,2,0,KRX300(유가증권시장 및 코스닥시장에 상장된 주권 중 300종목에 대하여 기준일인 2010년 1월 4일의 지수를 1천포인트로 하여 거래소가 산출하는 시가총액 방식의 주가지수를 말한다. 이하 같다)
항,1,총칙,,,제6조의4제②항,지수차익거래의 정의 및 형태<개정 2021. 3. 12.>,제6조의4,②,0,0,② 규정 제2조제21항제1호에서 “세칙으로 정하는 형태”란 다음 각호의 어느 하나에 해당하는 것을 말한다.
호,1,총칙,,,제6조의4제1호,지수차익거래의 정의 및 형태<개정 2021. 3. 12.>,제6조의4,②,1,0,지수차익거래대상지수에 연동되는 주식집단(이하 이 조에서 “주식집단”이라 한다)의 매수와 동시에 또는 매수의 전·후에 같은 지수에 대한 선물거래종목(주가지수합성선물을 포함한다)의 매도(매수계약의 최종결제를 포함한다)를 하는 거래
호,1,총칙,,,제6조의4제2호,지수차익거래의 정의 및 형태<개정 2021. 3. 12.>,제6조의4,②,2,0,주식집단의 매도와 동시에 또는 매도의 전·후에 같은 지수에 대한 선물거래종목(주가지수 합성선물을 포함한다)의 매수(매도계약의 최종결제를 포함한다)를 하는 거래
항,1,총칙,,,제6조의4제③항,지수차익거래의 정의 및 형태<개정 2021. 3. 12.>,제6조의4,③,0,0,"③ 제2항에서 “주가지수합성선물의 매도”란 「파생상품시장 업무규정」 제3조제2항제1호에 따른 지수옵션시장의 지수차익거래대상지수 옵션거래(이하 “주가지수옵션거래”라 한다)의 콜옵션을 매도하고 풋옵션을 매수하는 것을 말하며, “주가지수합성선물의 매수”란 주가지수옵션거래의 콜옵션을 매수하고 풋옵션을 매도하는 것을 말한다."
항,1,총칙,,,제6조의4제④항,지수차익거래의 정의 및 형태<개정 2021. 3. 12.>,제6조의4,④,0,0,④ 제2항에 따른 매수 또는 매도는 2회 이상 분할하여 매수 또는 매도하는 경우를 포함한다. [본조신설 2018. 12. 6.]
항,1,총칙,,,제6조의5제①항,비차익거래,제6조의5,①,0,0,① 규정 제2조제21항제2호에서 “세칙으로 정하는 범위의 동일인”은 신탁재산(펀드별)과 고유재산을 기준으로 구분한다.
항,1,총칙,,,제6조의5제②항,비차익거래,제6조의5,②,0,0,"② 규정 제2조제21항제2호에서 “세칙으로 정하는 수 이상의 종목""이라 함은 15이상[법 제8조의2제5항에 따른 다자간매매체결회사(이하 “다자간매매체결회사”라 한다)에서 거래하는 경우를 포함하여 계산한다]의 종목을 말한다. 이 경우 종목 수는 매수와 매도를 따로 산정한다. <개정 2019. 1. 24.,2025. 2. 27.>"
항,1,총칙,,,제6조의5제③항,비차익거래,제6조의5,③,0,0,③ 제1항 및 제2항에도 불구하고 다음 각 호의 호가는 비차익거래를 위한 호가로 보지 않는다. <신설 2019. 1. 24.>
호,1,총칙,,,제6조의5제1호,비차익거래,제6조의5,③,1,0,제12조제1항제23호의 유동성공급호가
