구분,장번호,장명,절번호,절명,참조번호,조명,조,항,호,목,내용
조,1,총칙,,,제1조,목적,제1조,0,0,0,이 규정은 「자본시장과 금융투자업에 관한 법률」(이하 “법”이라 한다) 제393조에 따라 한국거래소(이하 “거래소”라 한다)가 개설한 유가증권시장(이하 “시장”이라 한다)에서의 증권의 매매거래에 관하여 필요한 사항을 규정함을 목적으로 한다. [전문개정 2009.1.28]
항,1,총칙,,,제2조제①항,정의,제2조,①,0,0,"① 이 규정에서 “회원”이라 함은 「회원관리규정」 제3조제1항제1호부터 제3호까지의 규정에 따른 증권회원, 지분증권전문회원 및 채무증권전문회원을 말한다.<개정 2009.1.28>"
항,1,총칙,,,제2조제②항,정의,제2조,②,0,0,② 이 규정에서 “결제회원”이라 함은 「회원관리규정」 제3조제2항제1호의 결제회원중 시장에서 자기의 명의로 성립된 증권의 매매거래 또는 매매전문회원으로부터 결제를 위탁받은 증권의 매매거래에 대하여 자기의 명의로 결제를 하는 회원을 말한다.<개정 2009.1.28>
항,1,총칙,,,제2조제③항,정의,제2조,③,0,0,③ 이 규정에서 “매매전문회원”이라 함은 「회원관리규정」 제3조제2항제2호의 매매전문회원중 시장에서 자기의 명의로 성립된 증권의 매매거래에 따른 결제를 결제회원에게 위탁하는 회원을 말한다.<개정 2009.1.28>
항,1,총칙,,,제2조제④항,정의,제2조,④,0,0,"④ 이 규정에서 “호가”라 함은 회원이 시장에서 매매거래를 하기 위한 매도 또는 매수의 의사표시를 말하며, 다음 각 호와 같이 구분한다.<개정 2009.1.28, 2010.7.21, 2010.12.1, 2011.7.6>"
호,1,총칙,,,제2조제1호,정의,제2조,④,1,0,"지정가호가 : 상장증권의 종목(이하 “종목”이라 한다), 수량 및 가격(외화표시채무증권의 경우에는 포인트를 가격으로 보며, 제4장제6절의 환매조건부채권매매거래의 경우에는 환매이자율을 가격으로 본다. 이하 같다)을 지정하는 호가"
호,1,총칙,,,제2조제2호,정의,제2조,④,2,0,"시장가호가 : 종목 및 수량은 지정하되, 가격은 지정하지 아니하는 호가로서 제23조제3항 및 제24조제2항에서 각각 간주하는 가격으로 매매거래를 하고자 하는 호가"
호,1,총칙,,,제2조제3호,정의,제2조,④,3,0,조건부지정가호가 : 제23조제1항제4호의 규정에 의하여 장종료시의 가격을 단일가격에 의한 개별경쟁매매의 방법으로 결정하는 경우 시장가호가로 전환할 것을 조건으로 하는 지정가호가
호,1,총칙,,,제2조제4호,정의,제2조,④,4,0,"최유리지정가호가 : 종목 및 수량은 지정하되 가격은 매도호가의 경우 매수호가의 가격, 매수호가의 경우 매도호가의 가격을 기준으로 「유가증권시장 업무규정 시행세칙」(이하 “세칙”이라 한다)이 정하는 가격으로 지정한 것으로 보아 매매거래를 하고자 하는 호가"
호,1,총칙,,,제2조제5호,정의,제2조,④,5,0,"최우선지정가호가 : 종목 및 수량은 지정하되 가격은 매도호가의 경우 다른 매도호가의 가격, 매수호가의 경우 다른 매수호가의 가격을 기준으로 세칙이 정하는 가격으로 지정한 것으로 보아 매매거래를 하고자 하는 호가"
호,1,총칙,,,제2조제6호,정의,제2조,④,6,0,"경쟁대량매매호가 : 종목과 수량은 지정하되, 가격은 제30조의2제1항 또는 제34조의3제1항에 따른 가격으로 매매거래를 하고자 하는 호가"
항,1,총칙,,,제2조제⑤항,정의,제2조,⑤,0,0,"⑤ 이 규정에서 “주문”이라 함은 위탁자가 매매거래를 하기 위한 매도 또는 매수의 의사표시를 말하며, 다음 각 호와 같이 구분한다.<개정 2005.5.13, 2009.1.28, 2010.7.21, 2010.12.1, 2011.7.6, 2019.7.10>"
호,1,총칙,,,제2조제1호,정의,제2조,⑤,1,0,"지정가주문 : 종목, 수량 및 가격을 지정하는 주문"
호,1,총칙,,,제2조제2호,정의,제2조,⑤,2,0,"시장가주문 : 종목 및 수량은 지정하되, 가격은 지정하지 아니하는 주문으로서 제23조제3항 및 제24조제2항에서 각각 간주하는 가격으로 매매거래를 하고자 하는 주문"
호,1,총칙,,,제2조제3호,정의,제2조,⑤,3,0,조건부지정가주문 : 제23조제1항제4호의 규정에 의하여 장종료시의 가격을 단일가격에 의한 개별경쟁매매의 방법으로 결정하는 경우 시장가호가로 전환할 것을 조건으로 하는 지정가주문
호,1,총칙,,,제2조제4호,정의,제2조,⑤,4,0,최유리지정가주문 : 종목 및 수량은 지정하되 가격은 제4항제4호에서 정하는 가격으로 지정한 것으로 보아 매매거래를 하고자 하는 주문
호,1,총칙,,,제2조제5호,정의,제2조,⑤,5,0,최우선지정가주문 : 종목 및 수량은 지정하되 가격은 제4항제5호에서 정하는 가격으로 지정한 것으로 보아 매매거래를 하고자 하는 주문
호,1,총칙,,,제2조제6호,정의,제2조,⑤,6,0,"목표가주문 : 종목 및 수량은 지정하되, 가격은 제34조의3제1항제1호에 따른 거래량가중평균가격 등 특정의 가격수준을 목표로 매매체결이 이루어지는 것을 조건으로 하는 주문"
호,1,총칙,,,제2조제7호,정의,제2조,⑤,7,0,"경쟁대량매매주문 : 종목과 수량은 지정하되, 가격은 제30조의2제1항 또는 제34조의3제1항에 따른 가격으로 매매거래를 하고자 하는 주문"
항,1,총칙,,,제2조제⑥항,정의,제2조,⑥,0,0,⑥ 이 규정에서 “동시호가”라 함은 호가시간의 선후를 구분하지 아니하는 호가를 말한다.
