구분,장번호,장명,절번호,절명,참조번호,조명,조,항,호,목,내용
조,1,총칙,,,제1조,목적,제1조,0,0,0,이 세칙은「증권시장 청산결제 업무규정」의 시행에 필요한 사항을 규정함을 목적으로 한다.
조,1,총칙,,,제2조,정의,제2조,0,0,0,이 세칙에서 사용하는 용어의 뜻은 「증권시장 청산결제 업무규정」(이하 “규정”이라 한다)이 정하는 바에 따른다.
항,2,증권시장의 청산 및 결제,1,통칙,제3조제①항,증권금융회사에 대한 청산 및 결제의 적용 제외 등,제3조,①,0,0,① 규정 제5조제1항 각 호 외의 부분 단서에서 “세칙으로 정하는 경우”란 증권금융회사가 결제불이행을 한 경우로서 청산 및 결제의 안정을 위하여 거래소가 필요하다고 인정하는 경우를 말한다.
항,2,증권시장의 청산 및 결제,1,통칙,제3조제②항,증권금융회사에 대한 청산 및 결제의 적용 제외 등,제3조,②,0,0,② 규정 제5조제1항제2호에 따른 증권금융회사의 유통매매거래는 결제회원이 증권금융회사로부터 대여받은 자금 또는 증권을 상환하기 위하여 행하는 매매거래를 포함한다.
항,2,증권시장의 청산 및 결제,1,통칙,제4조제①항,유통매매거래에 대한 결제회원의 착오매매정정신청 등,제4조,①,0,0,① 규정 제5조제5항에 따라 유통매매거래에 대한 착오매매정정의 신청 및 공동기금의 적립은 같은 조 제1항제2호 후단에 따라 증권금융회사와 위임계약이 성립된 것으로 보는 상대방인 결제회원이 행한다.
항,2,증권시장의 청산 및 결제,1,통칙,제4조제②항,유통매매거래에 대한 결제회원의 착오매매정정신청 등,제4조,②,0,0,② 증권금융회사가 결제를 이행하지 아니한 결제대금(이하 이 조에서 “미결제대금”이라 한다)에 대해거래소가 공동기금을 사용하는 경우 결제회원별 사용금액은 공동기금을 사용하는 날 현재 각 결제회원이 적립한 증권시장 공동기금의 변동적립금 중 유통매매거래에 대해 적립한 변동적립금(이하 “유통변동적립금”이라 한다)을 안분비례방식으로 산출한 금액(1만원 미만은 버린다)으로 한다. 이 경우 산출한 금액의 합계액이 미결제대금보다 부족한 경우에는 그 금액에 달할 때까지 1만원 미만이어서 버린 금액이 큰 회원의 순서(해당 금액이 동일한 때에는 변동적립금이 큰 순서로 한다)대로 1만원을 더한다.
항,2,증권시장의 청산 및 결제,1,통칙,제4조제③항,유통매매거래에 대한 결제회원의 착오매매정정신청 등,제4조,③,0,0,③ 제2항에 따라 산출한 회원별 유통변동적립금의 합계액이 미결제대금보다 부족한 경우 해당 부족금액에 대한 결제회원별 사용금액은 사용하는 날 현재 각 결제회원이 적립한 증권시장 공동기금의 변동적립금에서 해당 결제회원의 유통변동적립금을 뺀 금액을 안분비례방식으로 산출한 금액(1만원 미만은 버린다)으로 한다. 이 경우 제2항 후단을 적용한다.
항,2,증권시장의 청산 및 결제,1,통칙,제5조제①항,대상 매매거래의 구분,제5조,①,0,0,① 규정 제6조제1항제2호에서 “세칙으로 정하는 경우”란 제2항제1호에 따른 매매거래의 결제일이 한국은행이 정하는 지급준비금적립마감일(휴장일인 경우에는 그 직전 매매거래일을 말한다)인 경우를 말한다.
항,2,증권시장의 청산 및 결제,1,통칙,제5조제②항,대상 매매거래의 구분,제5조,②,0,0,② 규정 제6조제2항에서 “세칙으로 정하는 경우”란 다음 각 호의 어느 하나에 해당하는 경우를 말한다.
호,2,증권시장의 청산 및 결제,1,통칙,제5조제1호,대상 매매거래의 구분,제5조,②,1,0,「유가증권시장 업무규정」 제55조제3호에 따른 국채전문유통시장의 매매거래인 경우
호,2,증권시장의 청산 및 결제,1,통칙,제5조제2호,대상 매매거래의 구분,제5조,②,2,0,제1호 외의 채무증권의 매매거래인 경우
항,2,증권시장의 청산 및 결제,1,통칙,제5조제③항,대상 매매거래의 구분,제5조,③,0,0,"③ 제2항제1호의 매매거래는 익일결제거래로 하고, 같은 항 제2호 및 규정 제22조에 따른 거래소의 매입인도에 따른 매매거래는 당일결제거래로 한다."
조,2,증권시장의 청산 및 결제,1,통칙,제6조,다자간매매체결회사의 매매거래내용의 통지,제6조,0,0,0,규정 제7조제2항에 따른 다자간매매체결회사의 매매거래내용의 통지사항은 다음 각 호와 같다.
호,2,증권시장의 청산 및 결제,1,통칙,제6조제1호,다자간매매체결회사의 매매거래내용의 통지,제6조,0,1,0,거래참가자명
호,2,증권시장의 청산 및 결제,1,통칙,제6조제2호,다자간매매체결회사의 매매거래내용의 통지,제6조,0,2,0,종목명
호,2,증권시장의 청산 및 결제,1,통칙,제6조제3호,다자간매매체결회사의 매매거래내용의 통지,제6조,0,3,0,체결수량 및 체결가격
호,2,증권시장의 청산 및 결제,1,통칙,제6조제4호,다자간매매체결회사의 매매거래내용의 통지,제6조,0,4,0,매도 또는 매수의 구분
호,2,증권시장의 청산 및 결제,1,통칙,제6조제5호,다자간매매체결회사의 매매거래내용의 통지,제6조,0,5,0,착오매매 정정의 경우 해당 정정내역
호,2,증권시장의 청산 및 결제,1,통칙,제6조제6호,다자간매매체결회사의 매매거래내용의 통지,제6조,0,6,0,대규모착오매매 구제의 경우 해당 구제사실 및 결제가격 변경내역
호,2,증권시장의 청산 및 결제,1,통칙,제6조제7호,다자간매매체결회사의 매매거래내용의 통지,제6조,0,7,0,그 밖에 매매거래의 청산결제를 위하여 필요한 내용
조,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제7조,유통매매거래 결제내역의 통지,제7조,0,0,0,규정 제9조제4항에 따라 유통매매거래를 한 결제회원(증권금융회사는 제외한다)은 유통매매거래에 따른 다음 각 호의 결제내역을 매매거래일에 거래소에 통지하여야 한다. 이 경우 착오매매정정 등으로 유통매매거래 결제내역의 변경이 있는 때에는 변경된 유통매매거래 결제내역을 매매거래일의 다음 날까지 거래소에 통지하여야 한다.
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제7조제1호,유통매매거래 결제내역의 통지,제7조,0,1,0,매매체결일 및 결제일
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제7조제2호,유통매매거래 결제내역의 통지,제7조,0,2,0,종목명
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제7조제3호,유통매매거래 결제내역의 통지,제7조,0,3,0,다음 각 목의 결제내역
목,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제7조제3호가목,유통매매거래 결제내역의 통지,제7조,0,3,가,가. 증권을 대여받아 결제를 행하는 매도거래(이하 “대주거래”라 한다)의 경우 : 매도수량 및 매도금액
목,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제7조제3호나목,유통매매거래 결제내역의 통지,제7조,0,3,나,나. 대여받은 증권을 상환하기 위하여 행하는 매수거래의 경우 : 매수수량 및 해당 증권의 대주거래시 매도금액
목,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제7조제3호다목,유통매매거래 결제내역의 통지,제7조,0,3,다,다. 자금을 융자받아 결제를 행하는 매수거래(이하 “융자거래”라 한다)의 경우 : 매수수량 및 융자금액(매수대금에서 「금융투자업규정」 제4-25조에 따른 보증금 중 매수대금에 충당하는 금액을 뺀 금액을 말한다)
목,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제7조제3호라목,유통매매거래 결제내역의 통지,제7조,0,3,라,라. 융자받은 자금을 상환하기 위하여 행하는 매도거래의 경우 : 매도수량 및 해당 증권의 융자거래 시 융자금액
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제7조제4호,유통매매거래 결제내역의 통지,제7조,0,4,0,그 밖에 유통매매거래의 청산 및 결제를 위하여 필요하다고 인정되는 사항
항,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제8조제①항,주권등의 범위 및 결제증권·결제대금의 산출방법,제8조,①,0,0,"① 규정 제9조제1항제1호에 따른 주권등의 매매거래는 주권, 외국주식예탁증권, 상장지수집합투자기구 집합투자증권, 상장지수증권, 신주인수권증서, 신주인수권증권, 주식워런트증권 및 수익증권의 매매거래로 한다."
항,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제8조제②항,주권등의 범위 및 결제증권·결제대금의 산출방법,제8조,②,0,0,② 규정 제9조제1항 각 호의 차감대상별로 회원이 거래소에 납부하거나 거래소로부터 수령하는 결제증권 및 결제대금은 다음 각 호의 방법으로 산출하여 확정한다.
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제8조제1호,주권등의 범위 및 결제증권·결제대금의 산출방법,제8조,②,1,0,결제증권 : 해당 회원의 종목별 납부할 수량의 합계수량과 수령할 수량의 합계수량을 차감하여 확정
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제8조제2호,주권등의 범위 및 결제증권·결제대금의 산출방법,제8조,②,2,0,"결제대금 : 해당 회원의 유가증권시장·코스닥시장·코넥스시장별 납부할 대금의 합계금액과 수령할 대금의 합계금액을 차감한 후 유가증권시장·코스닥시장·코넥스시장간에 차감하여 확정. 다만, 규정 제9조제1항제2호의 차감대상에 따른 결제대금(차금결제대상종목에 대한 대금은 제외한다)은 해당 회원의 종목별 납부할 대금의 합계금액과 수령할 대금의 합계금액을 차감하여 확정하고, 같은 항 제4호의 차감대상에 따른 결제대금은 발행 시 채무증권에 표시되는 통화별로 해당 회원의 납부할 대금의 합계금액과 수령할 대금의 합계금액을 차감하여 확정한다."
항,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제8조제③항,주권등의 범위 및 결제증권·결제대금의 산출방법,제8조,③,0,0,③ 제2항에 따라 결제증권 또는 결제대금을 확정하는 경우 2개 이상의 회원번호가 부여된 회원에 대하여는 회원번호별로 확정한다.
항,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제8조제④항,주권등의 범위 및 결제증권·결제대금의 산출방법,제8조,④,0,0,④ 제2항에 따라 결제대금을 계산하는 경우 1원 미만은 버린다.
항,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제8조제⑤항,주권등의 범위 및 결제증권·결제대금의 산출방법,제8조,⑤,0,0,⑤ 제2항에도 불구하고 거래소가 필요하다고 인정하는 차감대상에 대하여는 그때마다 정하는 방법으로 결제증권 및 결제대금을 확정할 수 있다. 이 경우 결제일 등을 달리 정할 수 있다.
항,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제9조제①항,국채전문유통시장의 매매거래에 대한 결제증권 및 결제대금의 산출방법,제9조,①,0,0,① 규정 제9조제4항에 따라 규정 제9조제1항제2호의 차감대상에 따른 결제증권의 수량(액면가액을 말한다. 이하 이 조에서 같다)이 100억원을 초과하는 경우에는 100억원 이하로 분할하여 확정한다.
항,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제9조제②항,국채전문유통시장의 매매거래에 대한 결제증권 및 결제대금의 산출방법,제9조,②,0,0,② 제1항에 따라 확정된 결제증권에 대한 결제대금은 다음 각 호의 방법으로 산출하여 확정한다.
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제9조제1호,국채전문유통시장의 매매거래에 대한 결제증권 및 결제대금의 산출방법,제9조,②,1,0,결제증권의 수량이 100억원인 경우 : 해당 종목의 전체 결제대금을 결제증권의 전체 수량으로 나눈 후 100억원을 곱하여 산출한 금액으로 확정. 이 경우 1만원 미만의 끝수가 있는 경우에는 5천원 미만은 버리고 5천원 이상은 1만원으로 한다.
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제9조제2호,국채전문유통시장의 매매거래에 대한 결제증권 및 결제대금의 산출방법,제9조,②,2,0,결제증권의 수량이 100억원 미만인 경우 : 해당 종목의 전체 결제대금에서 제1호의 결제대금의 합계금액을 뺀 금액으로 확정. 이 경우 해당 종목의 결제증권의 전체 수량이 100억원의 배수인 경우에는 마지막으로 확정된 100억원의 결제증권의 수량은 100억원 미만으로 본다.
항,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제10조제①항,"확정된 결제증권·결제대금의 회원, 예탁결제원 및 한국은행 통지 시기 등",제10조,①,0,0,① 규정 제10조제4항에 따라 회원에게 통지하는 결제내역은 다음 각 호와 같다.
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제10조제1호,"확정된 결제증권·결제대금의 회원, 예탁결제원 및 한국은행 통지 시기 등",제10조,①,1,0,매매체결일 및 결제일
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제10조제2호,"확정된 결제증권·결제대금의 회원, 예탁결제원 및 한국은행 통지 시기 등",제10조,①,2,0,"해당 회원의 차감·확정된 결제증권의 종목별 수량. 이 경우 위탁매매에 따른 수량과 자기매매에 따른 수량으로 구분하되, 규정 제9조제1항제2호부터 제4호까지의 위탁매매에 따른 수량은 신탁에 따른 수량과 신탁 이외의 위탁에 따른 수량으로 구분한다."
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제10조제3호,"확정된 결제증권·결제대금의 회원, 예탁결제원 및 한국은행 통지 시기 등",제10조,①,3,0,"해당 회원의 차감·확정된 결제대금. 다만, 규정 제9조제1항제2호의 차감대상에 따른 결제대금(차금결제대상종목에 대한 결제대금은 제외한다)은 해당 회원의 차감·확정된 종목별 결제대금으로 한다."
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제10조제4호,"확정된 결제증권·결제대금의 회원, 예탁결제원 및 한국은행 통지 시기 등",제10조,①,4,0,그 밖에 증권시장의 결제에 필요한 사항
항,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제10조제②항,"확정된 결제증권·결제대금의 회원, 예탁결제원 및 한국은행 통지 시기 등",제10조,②,0,0,② 거래소는 결제내역(착오매매정정을 한 회원에 대하여는 해당 정정을 한 내역을 포함한다. 이하 이 조에서 같다)을 확정한 때에 그 내역을 지체 없이 회원에게 통지한다. 이 경우 거래소는 규정 제10조제3항의 방법과 별도로 회원청산결제단말기(거래소의 승인을 얻어 증권시장의 청산 및 결제와 관련한 업무를 하기 위하여 거래소가 운영하는 청산결제시스템과 연결된 회원의 단말기를 말한다)로 결제내역을 제공할 수 있다.
항,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제10조제③항,"확정된 결제증권·결제대금의 회원, 예탁결제원 및 한국은행 통지 시기 등",제10조,③,0,0,③ 거래소가 예탁결제원 및 한국은행에게 결제내역을 통지하는 시기는 다음 각 호와 같다.
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제10조제1호,"확정된 결제증권·결제대금의 회원, 예탁결제원 및 한국은행 통지 시기 등",제10조,③,1,0,예탁결제원 : 다음 각 목의 구분에 따른 시점 전후
목,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제10조제1호가목,"확정된 결제증권·결제대금의 회원, 예탁결제원 및 한국은행 통지 시기 등",제10조,③,1,가,가. 규정 제9조제1항제1호의 차감대상 : 결제일의 직전 매매거래일의 19시
목,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제10조제1호나목,"확정된 결제증권·결제대금의 회원, 예탁결제원 및 한국은행 통지 시기 등",제10조,③,1,나,나. 제9조제1항제2호부터 제4호까지의 차감대상 : 결제내역의 확정시점
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제10조제2호,"확정된 결제증권·결제대금의 회원, 예탁결제원 및 한국은행 통지 시기 등",제10조,③,2,0,한국은행 : 다음 각 목의 구분에 따른 시점 전후
목,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제10조제2호가목,"확정된 결제증권·결제대금의 회원, 예탁결제원 및 한국은행 통지 시기 등",제10조,③,2,가,가. 규정 제9조제1항제1호의 차감대상 : 결제일의 직전 매매거래일의 15시 30분 및 결제일의 9시
목,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제10조제2호나목,"확정된 결제증권·결제대금의 회원, 예탁결제원 및 한국은행 통지 시기 등",제10조,③,2,나,나. 규정 제9조제1항제2호의 차감대상 : 결제일의 직전 매매거래일의 17시
항,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제10조제④항,"확정된 결제증권·결제대금의 회원, 예탁결제원 및 한국은행 통지 시기 등",제10조,④,0,0,④ 회원은 거래소로부터 결제내역을 통지받은 때에 그 내역을 확인한 것으로 본다.
조,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제11조,결제시한의 변경 요구,제11조,0,0,0,거래소는 다음 각 호의 어느 하나에 해당하여 시장관리상 필요하다고 인정하는 경우에는 예탁결제원에게 결제시한의 변경을 요구할 수 있다.
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제11조제1호,결제시한의 변경 요구,제11조,0,1,0,매매거래시간이 변경되는 경우
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제11조제2호,결제시한의 변경 요구,제11조,0,2,0,결제회원이 납부하지 못할 것으로 예상되는 주권등의 수량 또는 그 수량에 해당 종목의 종가를 곱한 평가액이 과다하다고 인정되는 경우
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제11조제3호,결제시한의 변경 요구,제11조,0,3,0,전산장애 또는 그 밖의 사유로 정상적인 청산결제 관련 업무수행이 곤란하다고 인정되는 경우
항,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제12조제①항,증권인도의 방법 등,제12조,①,0,0,"① 규정 제11조제2항제1호가목에서 “세칙으로 정하는 방법”이란 증권결제계좌에 납부된 종목을 다음 각 호의 순서에 따라 증권수령결제회원(자기가 납부하여야 하는 결제증권과 결제대금을 모두 납부하거나 증권수령가능한도가 수령할 결제증권의 평가액 이상인 결제회원을 말한다. 이하 이 조에서 같다)에게 인도하는 방법을 말한다. 이 경우 같은 종목 내에서는 위탁매매분을 자기매매분보다 우선하여 인도하고, 결제시한에 인도하는 경우를 제외하고는 증권결제계좌에 납부된 수량이 증권수령결제회원이 수령할 수량 이상인 경우에 인도한다."
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제12조제1호,증권인도의 방법 등,제12조,①,1,0,상장지수집합투자기구 집합투자증권에 해당하는 종목
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제12조제2호,증권인도의 방법 등,제12조,①,2,0,증권결제계좌를 통하여 결제되어야 할 결제증권의 평가액이 큰 종목
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제12조제3호,증권인도의 방법 등,제12조,①,3,0,증권결제계좌를 통하여 결제되어야 할 결제증권의 수량이 많은 종목
항,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제12조제②항,증권인도의 방법 등,제12조,②,0,0,② 제1항에도 불구하고 증권수령결제회원이 다음 각 호의 어느 하나에 해당하여 10시부터 15시 30분까지 해당 종목의 인도를 요청하는 경우 해당 증권수령결제회원에게 우선하여 인도한다.
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제12조제1호,증권인도의 방법 등,제12조,②,1,0,결제교착(증권시장의 결제가 증권시장 이외의 결제와 서로 연결되어 발생한 일시적인 결제장애를 말한다. 이하 같다)의 해소를 위하여 필요한 경우
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제12조제2호,증권인도의 방법 등,제12조,②,2,0,상장지수집합투자기구 집합투자증권의 추가발행을 위하여 해당 증권이 목표로 하는 지수의 구성종목이 필요한 경우
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제12조제3호,증권인도의 방법 등,제12조,②,3,0,상장지수집합투자기구 집합투자증권의 환매청구를 위하여 해당 증권이 필요한 경우
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제12조제4호,증권인도의 방법 등,제12조,②,4,0,대차증권의 상환을 위하여 필요한 경우
호,2,증권시장의 청산 및 결제,2,증권시장의 청산 및 결제의 방법,제12조제5호,증권인도의 방법 등,제12조,②,5,0,그 밖에 제1호부터 제4호까지에 준하는 경우로서 증권을 우선 인도해야할 필요가 있다고 인정되는 경우
