구분,장번호,장명,절번호,절명,참조번호,조명,조,항,호,목,내용
조,1,총칙,,,제1조,목적,제1조,0,0,0,이 규정은「자본시장과 금융투자업에 관한 법률」제378조제1항에 따라 한국거래소가 증권시장의 청산기관으로서 같은 법 제393조제1항에 따라 매매거래의 청산업무 등을 수행하는데 필요한 사항을 규정함을 목적으로 한다.
항,1,총칙,,,제2조제①항,정의,제2조,①,0,0,① 이 규정에서 사용하는 용어의 뜻은 다음과 같다.
호,1,총칙,,,제2조제1호,정의,제2조,①,1,0,"“증권시장”이란 증권의 매매를 위하여 한국거래소(이하 “거래소”라 한다)가 개설한 유가증권시장, 코스닥시장 및 코넥스시장을 말한다."
호,1,총칙,,,제2조제2호,정의,제2조,①,2,0,"“청산업무”란 거래소가 수행하는 증권시장에서의 매매거래(다자간매매체결회사에서의 매매거래를 포함한다)에 따른 매매확인, 채무인수, 차감, 결제증권&#8231;결제금액의 확정, 결제이행보증, 결제불이행에 따른 처리 및 결제지시 등 업무를 말한다."
호,1,총칙,,,제2조제3호,정의,제2조,①,3,0,“결제업무”란 「자본시장과 금융투자업에 관한 법률」(이하 “법”이라 한다) 제297조에 따라 전자등록기관인 한국예탁결제원(이하 “예탁결제원”이라 한다)이 수행하는 증권인도 및 대금지급 등 업무를 말한다.
호,1,총칙,,,제2조제4호,정의,제2조,①,4,0,“증권금융회사”란 법 제324조제1항에 따른 증권금융업무의 인가를 받은 자를 말한다.
호,1,총칙,,,제2조제5호,정의,제2조,①,5,0,“유통매매거래”란 증권금융회사가 법 제326조제1항제2호에 따라 증권시장(다자간매매체결회사에서의 매매거래를 포함한다. 이하 같다)에 필요한 자금 또는 증권을 거래소를 통하여 대여하여 결제를 행하는 매매거래를 말한다.
호,1,총칙,,,제2조제6호,정의,제2조,①,6,0,“결제계좌”란 증권시장에서 확정된 결제증권 또는 대금을 결제회원과 수수하기 위한 계좌로서 다음 각 목과 같이 구분한다.
목,1,총칙,,,제2조제6호가목,정의,제2조,①,6,가,가. 증권결제계좌 : 확정된 결제증권의 수수를 위한 계좌로서 예탁결제원에 개설된 거래소 명의의 계좌를 대신하는 예탁결제원 명의의 계좌
목,1,총칙,,,제2조제6호나목,정의,제2조,①,6,나,나. 대금결제계좌 : 확정된 결제대금의 수수를 위한 계좌로서 한국은행 또는 은행에 개설된 거래소 명의의 계좌를 대신하는 예탁결제원 명의의 계좌
