구분,장번호,장명,절번호,절명,참조번호,조명,조,항,호,목,내용
조,1,총칙,,,제1조,목적,제1조,0,0,0,이 세칙은 「코넥스시장 업무규정」(이하 “규정”이라 한다)에서 위임된 사항과 그 시행에 필요한 사항을 규정함을 목적으로 한다.
항,1,총칙,,,제2조제①항,정의,제2조,①,0,0,① 이 세칙에서 사용하는 용어의 정의는 규정이 정하는 바에 따른다.
항,1,총칙,,,제2조제②항,정의,제2조,②,0,0,② 규정 제2조제13항에서 “세칙으로 정하는 기준”이란 당일의 종류주식의 기준가격이 해당 보통주식의 기준가격을 2배 초과하는 것을 말한다.
항,2,시장의 운영,,,제3조제①항,매매거래시간의 변경,제3조,①,0,0,① 규정 제4조제3항에서 “시장관리상 필요하다고 인정하여 세칙으로 정하는 경우”란 다음 각 호의 어느 하나에 해당하는 경우를 말한다.
호,2,시장의 운영,,,제3조제1호,매매거래시간의 변경,제3조,①,1,0,"코넥스시스템, 회원시스템 그 밖에 이에 준하는 업무를 수행한다고 인정되는 전산시스템의 장애(이하 “전산장애”라 한다)가 발생한 경우"
호,2,시장의 운영,,,제3조제2호,매매거래시간의 변경,제3조,①,2,0,연초의 개장일의 경우
호,2,시장의 운영,,,제3조제3호,매매거래시간의 변경,제3조,①,3,0,그 밖에 거래소가 매매거래시간의 변경이 필요하다고 인정하는 경우
항,2,시장의 운영,,,제3조제②항,매매거래시간의 변경,제3조,②,0,0,"② 제1항제1호에 해당하는 경우 정규시장의 매매거래시간은 장애시간만큼 순연하는 것을 원칙으로 하되, 장종료시점의 연장은 거래소가 필요하다고 인정하는 시간까지 할 수 있다. 다만, 전산장애가 매매거래시간 종료시까지 복구되지 아니하는 경우에는 장애발생시점에서 매매거래가 종료된 것으로 본다."
항,2,시장의 운영,,,제3조제③항,매매거래시간의 변경,제3조,③,0,0,"③ 제1항제1호에 따른 회원시스템의 장애라 함은 회원별 시스템장애[회원시스템을 통하여 모든 호가를 코넥스시장(이하 “시장”이라 한다)으로 전달할 수 없는 경우로서, 본점·지점 그 밖의 영업소 중 일부영업소 또는 일부지역에 장애가 발생한 경우는 제외한다. 이하 같다]가 발생한 회원의 주식거래량(회원시스템의 장애가 발생한 날이 속하는 월의 전월의 말일을 기산일로 하여 소급한 1년간의 거래량을 기준으로 하며, 회원가입·탈퇴가 있는 경우에는 이를 감안하여 계산한다. 이하 이 항에서 같다)의 합계가 전체 주식거래량의 75%이상인 경우를 말한다. 다만, 회원별 시스템장애가 발생한 회원의 주식거래량의 합계가 전체 주식거래량의 75%에 미달하는 경우에도 거래소는 다음 각 호의 시장상황 등을 고려하여 필요하다고 인정하는 경우 제1항제1호에 따른 회원시스템의 장애로 볼 수 있다."
호,2,시장의 운영,,,제3조제1호,매매거래시간의 변경,제3조,③,1,0,유가증권시장 또는 코스닥시장에서 회원별 시스템장애가 발생한 회원의 주식거래량의 합계가 해당 증권시장 전체 주식거래량의 합계가 해당 증권시장 전체의 주식거래량의 75%이상인 경우
호,2,시장의 운영,,,제3조제2호,매매거래시간의 변경,제3조,③,2,0,회원별 시스템장애 발생으로 정상적인 시장운영이 어려운 경우
조,2,시장의 운영,,,제4조,매매거래종류의 지정,제4조,0,0,0,규정 제8조제4항에서 “세칙에서 정하는 경우”란 다음 각 호의 어느 하나에 해당하는 매매거래를 말한다.<개정 2014. 10. 30.>
호,2,시장의 운영,,,제4조제1호,매매거래종류의 지정,제4조,0,1,0,규정 제14조제4항제1호 및 제2호에 따른 주권의 매매거래로서 매도호가와 매수호가가 단일회원의 호가(제7조제3항에 따라 복수로 회원번호를 부여받은 회원의 경우 회원번호가 같은 호가에 한한다. 이하 제33조제2항에서 같다)이고 해당 회원이 호가를 하기 3일 전에 [업무서식 10의2]에 따른 당일결제거래 신청서를 거래소에 제출하여 거래소가 필요하다고 인정하는 매매거래
호,2,시장의 운영,,,제4조제2호,매매거래종류의 지정,제4조,0,2,0,「증권시장 청산결제 업무규정」 제22조에 따른 거래소의 매입인도에 따른 매매거래<개정 2025. 2. 27.>
항,2,시장의 운영,,,제5조제①항,회원시스템 접속 등에 관한 기준,제5조,①,0,0,① 규정 제9조제1항에서 “세칙이 정하는 사항”이란 다음 각 호를 말한다.<개정 2014. 2. 28.>
호,2,시장의 운영,,,제5조제1호,회원시스템 접속 등에 관한 기준,제5조,①,1,0,회원과 거래소간 네트워크의 연결방법
호,2,시장의 운영,,,제5조제2호,회원시스템 접속 등에 관한 기준,제5조,①,2,0,회원과 거래소간 통신회선 및 세션의 신청·배정방법
호,2,시장의 운영,,,제5조제3호,회원시스템 접속 등에 관한 기준,제5조,①,3,0,규정 제57조제2항의 보안장치 요건
호,2,시장의 운영,,,제5조제4호,회원시스템 접속 등에 관한 기준,제5조,①,4,0,회원의 세션 배정·운영기준
호,2,시장의 운영,,,제5조제5호,회원시스템 접속 등에 관한 기준,제5조,①,5,0,그 밖에 거래소가 시스템의 효율적·안정적 운영을 위하여 필요하다고 인정하는 사항
