구분,장번호,장명,절번호,절명,참조번호,조명,조,항,호,목,내용
조,1,총칙,,,제1조,목적,제1조,0,0,0,이 세칙은 「코스닥시장 공시규정」의 시행에 관하여 필요한 사항을 규정함을 목적으로 한다.<개정 2020. 7. 28.>
조,1,총칙,,,제2조,삭제,제2조,0,0,0,제2조 삭제<2020. 7. 28.>
조,1,총칙,,,제3조,최대주주 산정시 소유주식수가 제외되는 자의 범위<개정 2015. 8. 31.>,제3조,0,0,0,"「코스닥시장 공시규정」(이하 “규정”이라 한다) 제2조제7항에서 “세칙에서 정하는 자”라 함은 다음 각 호의 어느 하나에 해당하는 경우를 말한다.<개정 2015. 8. 31., 2020. 7. 28.>"
호,1,총칙,,,제3조제1호,최대주주 산정시 소유주식수가 제외되는 자의 범위<개정 2015. 8. 31.>,제3조,0,1,0,「자본시장과 금융투자업에 관한 법률 시행령」(이하 “법 시행령”이라 한다) 제10조제1항제1호 및 제2호의 자
호,1,총칙,,,제3조제2호,최대주주 산정시 소유주식수가 제외되는 자의 범위<개정 2015. 8. 31.>,제3조,0,2,0,"법 시행령 제10조제2항제1호부터 제10호까지 및 제13호부터 제16호까지의 자. 다만, 법시행령 제10조제2항제8호의 자 중 신탁업자, 투자일임업자 및 투자자문업자는 제외한다."
호,1,총칙,,,제3조제3호,최대주주 산정시 소유주식수가 제외되는 자의 범위<개정 2015. 8. 31.>,제3조,0,3,0,법 시행령 제10조제3항제3호·제10호·제11호·제12호및 제13호의 자
호,1,총칙,,,제3조제4호,최대주주 산정시 소유주식수가 제외되는 자의 범위<개정 2015. 8. 31.>,제3조,0,4,0,제1호부터 제3호까지에 준하는 자로서 한국거래소(이하 “거래소”라 한다)가 해당 투자자의 성격 및 주식소유목적 등을 고려하여 최대주주등의 소유주식수 산정에 있어 제외하는 것이 타당하다고 인정하는 자 [본조신설 2009. 2. 3.]
조,1,총칙,,,제4조,공시매체,제4조,0,0,0,"규정 제5조제4항에서 “세칙이 정하는 공시매체”라 함은 정보통신망을 이용한 전자공시매체, 증권시장지와 (주)코스콤이 운영하는 금융정보단말(이하 “금융정보단말”이라 한다) 등을 말한다.<개정 2020. 7. 28.> [본조신설 2009. 2. 3.]"
항,1,총칙,,,제4조의2제①항,확인절차 면제법인 등,제4조의2,①,0,0,"① 규정 제5조제4항 단서에서 “세칙에서 정하는 요건을 충족하는 코스닥시장상장법인”이란 다음 각 호의 모두에 해당하는 법인(상장외국법인 및 기업인수목적회사를 제외한다)을 말한다.<개정 2015. 8. 31., 2020. 7. 28.>"
호,1,총칙,,,제4조의2제1호,확인절차 면제법인 등,제4조의2,①,1,0,"코스닥시장 신규상장일부터 3년 경과. 이 경우 재상장은 재상장일, 기업인수목적회사의 합병상장은 합병신주상장일을 기준으로 한다."
