구분,장번호,장명,절번호,절명,참조번호,조명,조,항,호,목,내용
조,1,총 칙,,,제1조,목적,제1조,0,0,0,이 세칙은 「코스닥시장 상장규정」에서 위임된 사항과 그 시행에 필요한 사항을 규정함을 목적으로 한다.
조,1,총 칙,,,제2조,전문투자자,제2조,0,0,0,「코스닥시장 상장규정」(이하 “규정”이라 한다) 제2조제1항제15호에서 “세칙으로 정하는 전문투자자”란 다음 각 호의 어느 하나에 해당하는 자를 말한다.
호,1,총 칙,,,제2조제1호,전문투자자,제2조,0,1,0,「자본시장과 금융투자업에 관한 법률 시행령」(이하 “법시행령”이라 한다) 제10조제1항제1호 및 제2호의 전문투자자
호,1,총 칙,,,제2조제2호,전문투자자,제2조,0,2,0,"법시행령 제10조제2항제1호부터 제10호까지 및 같은 항 제13호부터 제16호까지의 전문투자자. 다만, 법시행령 제10조제2항제8호의 금융투자업자 중 신탁업자, 투자일임업자 및 투자자문업자는 제외한다."
호,1,총 칙,,,제2조제3호,전문투자자,제2조,0,3,0,법시행령 제10조제3항제3호 및 같은 항 제10호부터 제13호의 전문투자자
호,1,총 칙,,,제2조제4호,전문투자자,제2조,0,4,0,"그 밖에 제1호부터 제3호까지의 규정에 따른 전문투자자에 준하는 자로서 한국거래소(이하 “거래소”라 한다)가 해당 전문투자자의 성격, 주식 소유 목적 등을 고려할 때 규정 제2조제1항제13호가목에 따른 최대주주(이하 “최대주주”라 한다)의 소유주식 수 산정에서 제외하는 것이 타당하다고 인정하는 전문투자자"
조,1,총 칙,,,제3조,무상증자 주식<개정 2022. 3. 17.>,제3조,0,0,0,규정 제2조제1항제18호 후단에서 “세칙으로 정하는 무상증자”란 다음 각 호의 어느 하나에 따른 무상증자를 말한다. <개정 2022. 3. 17.>
호,1,총 칙,,,제3조제1호,무상증자 주식<개정 2022. 3. 17.>,제3조,0,1,0,「상법」 제461조에 따른 준비금의 자본전입
호,1,총 칙,,,제3조제2호,무상증자 주식<개정 2022. 3. 17.>,제3조,0,2,0,「자산재평가법」 제30조에 따른 자본전입
조,1,총 칙,,,제4조,외국지주회사 및 국내소재외국지주회사의 판단기준,제4조,0,0,0,"규정 제2조제1항제25호 및 제26호에 따른 외국자회사의 주식가액 합계액과 외국지주회사 또는 국내소재외국지주회사의 자산총액은 최근 사업연도 종료일을 기준으로 한다. 다만, 최근 사업연도 종료일 이후 현재의 주식가액과 자산총액을 기준으로 해당 사실을 확인할 수 있는 서류를 제출하는 경우에는 그 서류를 기준으로 할 수 있다."
조,1,총 칙,,,제5조,적격 해외증권시장,제5조,0,0,0,규정 제2조제1항제33호에서 “세칙으로 정하는 해외증권시장”이란 다음 각 호의 어느 하나에 해당하는 증권시장을 말한다.
호,1,총 칙,,,제5조제1호,적격 해외증권시장,제5조,0,1,0,뉴욕증권거래소(New York Stock Exchange)
호,1,총 칙,,,제5조제2호,적격 해외증권시장,제5조,0,2,0,나스닥증권시장(NASDAQ Stock Market)
호,1,총 칙,,,제5조제3호,적격 해외증권시장,제5조,0,3,0,유로넥스트(Euronext)
호,1,총 칙,,,제5조제4호,적격 해외증권시장,제5조,0,4,0,동경증권거래소(Tokyo Stock Exchange)
호,1,총 칙,,,제5조제5호,적격 해외증권시장,제5조,0,5,0,런던증권거래소(London Stock Exchange)
호,1,총 칙,,,제5조제6호,적격 해외증권시장,제5조,0,6,0,독일거래소(Deutsche Brse)
호,1,총 칙,,,제5조제7호,적격 해외증권시장,제5조,0,7,0,홍콩거래소(Hong Kong Exchanges and Clearing)
호,1,총 칙,,,제5조제8호,적격 해외증권시장,제5조,0,8,0,싱가포르거래소(Singapore Exchange)
호,1,총 칙,,,제5조제9호,적격 해외증권시장,제5조,0,9,0,호주증권거래소(Australian Securities Exchange)
호,1,총 칙,,,제5조제10호,적격 해외증권시장,제5조,0,10,0,토론토증권거래소(Toronto Stock Exchange)
호,1,총 칙,,,제5조제11호,적격 해외증권시장,제5조,0,11,0,그 밖에 시장의 안정성·유동성·투명성 등을 고려하여 거래소가 인정하는 해외증권시장
조,1,총 칙,,,제6조,기준시가총액 산정 방법,제6조,0,0,0,규정 제2조제1항제34호나목에서 “세칙으로 정하는 방법으로 산정한 금액”이란 다음 각 호의 방법에 따라 산정한 금액을 말한다.
호,1,총 칙,,,제6조제1호,기준시가총액 산정 방법,제6조,0,1,0,해외증권시장에 상장된 기업이 발행하는 주식·외국주식예탁증권을 상장하는 경우: 해외증권시장에 상장된 주식(외국주식예탁증권은 그 기초가 되는 주식을 말한다)의 상장신청일부터 과거 90일 동안의 최종 시세가격의 산술평균금액에 상장신청일 현재의 발행주식 총수를 곱한 금액
호,1,총 칙,,,제6조제2호,기준시가총액 산정 방법,제6조,0,2,0,국내외 동시공모를 통한 상장의 경우: 상장신청일 현재의 상장예정 주식 수에 모집·매출가격 중 낮은 가격을 곱한 금액
호,1,총 칙,,,제6조제3호,기준시가총액 산정 방법,제6조,0,3,0,그 밖의 경우: 거래소가 따로 정하는 방법으로 산정한 금액
조,1,총 칙,,,제7조,지방소재벤처기업,제7조,0,0,0,규정 제2조제1항제38호가목 단서에서 “세칙으로 정하는 지방에 소재하는 벤처기업”이란 서울특별시·인천광역시·경기도를 제외한 지역에 본점 및 주사업장을 둔 벤처기업을 말한다.
항,1,총 칙,,,제8조제①항,외국자회사의 회계처리기준,제8조,①,0,0,① 규정 제3조제3항에서 “세칙으로 정하는 사항”이란 다음 각 호의 사항을 말한다.
호,1,총 칙,,,제8조제1호,외국자회사의 회계처리기준,제8조,①,1,0,외국자회사가 채택한 회계처리기준과 규정 제3조제2항 각 호의 어느 하나에 따른 회계처리기준(이하 이 항에서 “비교 대상 회계처리기준”이라 한다)과의 구체적 차이점
호,1,총 칙,,,제8조제2호,외국자회사의 회계처리기준,제8조,①,2,0,제1호의 내용이 외국자회사의 재무제표에 미치는 영향
호,1,총 칙,,,제8조제3호,외국자회사의 회계처리기준,제8조,①,3,0,비교 대상 회계처리기준을 외국자회사에 적용하여 비교형식으로 작성한 최근 사업연도의 요약재무제표
항,1,총 칙,,,제8조제②항,외국자회사의 회계처리기준,제8조,②,0,0,② 상장신청인은 제1항 각 호의 사항을 기재한 서류를 해당 외국자회사의 감사보고서와 함께 거래소에 제출하여야 한다.
조,1,총 칙,,,제9조,재무서류,제9조,0,0,0,규정 제6조제3항 전단에서 “세칙으로 정하는 재무서류”란 별표 1의 상장예비심사 신청 서류 중 재무서류를 말한다.
항,1,총 칙,,,제10조제①항,상장예비심사 결과의 통지,제10조,①,0,0,"① 거래소는 규정 제6조제4항 각 호 외의 부분 단서에 따라 다음 각 호의 어느 하나에 해당하는 경우에는 상장예비심사신청서를 접수한 날부터 30일(영업일을 기준으로 한다. 이하 이 조에서 같다) 이내에 상장예비심사 결과를 통지하여야 한다. 다만, 규정 제6조제4항제2호에 따른 상장신청인에 대하여는 적용하지 않는다. <개정 2023. 12. 28.>"
호,1,총 칙,,,제10조제1호,상장예비심사 결과의 통지,제10조,①,1,0,규정 제31조제1항에 따른 신속이전기업에 대한 신규상장예비심사
호,1,총 칙,,,제10조제2호,상장예비심사 결과의 통지,제10조,①,2,0,규정 제32조제1항에 따른 대형법인에 대한 신규상장예비심사
호,1,총 칙,,,제10조제3호,상장예비심사 결과의 통지,제10조,①,3,0,규정 제75조제4항에 따른 합병상장예비심사
호,1,총 칙,,,제10조제4호,상장예비심사 결과의 통지,제10조,①,4,0,제28조제1항제1호가목5)에 해당하는 혁신기술기업에 대한 신규상장예비심사
항,1,총 칙,,,제10조제②항,상장예비심사 결과의 통지,제10조,②,0,0,② 규정 제6조제5항제3호에서 “세칙으로 정하는 경우”란 다음 각 호의 어느 하나에 해당하는 경우를 말한다. <개정 2023. 3. 9.>
호,1,총 칙,,,제10조제1호,상장예비심사 결과의 통지,제10조,②,1,0,코스닥시장상장위원회(이하 “상장위원회”라 한다) 위원에 대한 기피신청이 있는 경우
호,1,총 칙,,,제10조제2호,상장예비심사 결과의 통지,제10조,②,2,0,"상장신청인의 재무상황, 영업활동, 지배구조, 내부통제제도 등과 관련한 중요한 사항을 확인하기 위해 추가적인 자료 요청 및 검토가 필요한 경우"
