구분,장번호,장명,절번호,절명,참조번호,조명,조,항,호,목,내용
조,1,총칙,,,제1조,목적,제1조,0,0,0,"이 세칙은 「코스닥시장 업무규정」(이하 “규정”이라 한다)에서 위임된 사항과 그 시행에 필요한 사항을 규정함을 목적으로 한다.<개정 2009.2.3, 2009.7.31>"
항,1,총칙,,,제2조제①항,정의,제2조,①,0,0,"① 이 세칙에서 사용하는 용어의 뜻은 다음과 같다.<개정 2009.2.3, 2023.4.12>"
호,1,총칙,,,제2조제1호,정의,제2조,①,1,0,"“시가기준가종목”이란 별표 1에 따른 최저호가가격 및 최고호가가격 이내의 호가 범위에서 규정 제22조에 따라 결정되는 최초의 가격을 그 날의 기준가격으로 하는 종목을 말하며, 다음 각 목과 같이 구분한다."
목,1,총칙,,,제2조제1호가목,정의,제2조,①,1,가,가. 재상장종목 및 변경상장종목
목,1,총칙,,,제2조제1호나목,정의,제2조,①,1,나,나. 자본금감소(소액주주를 대상으로 하는 주식병합 또는 주식소각에 따라 자본금이 감소되는 경우를 말한다. 이하 같다) 종목
목,1,총칙,,,제2조제1호다목,정의,제2조,①,1,다,다. 30매매거래일이상 매매거래가 중단 또는 정지된 후 매매거래를 재개하는 종목
호,1,총칙,,,제2조제2호,정의,제2조,①,2,0,“재상장종목”이란 상장규정 제2조제1항제1호다목에 따른 법인이 발행한 주권으로서 상장규정 제39조에 따라 재상장되는 종목을 말한다.
호,1,총칙,,,제2조제3호,정의,제2조,①,3,0,“변경상장종목”이란 시장에 상장된 법인의 분할 또는 분할합병후 존속하는 법인(「상법」 제530조의12에 따른 물적분할 후에 존속하는 법인을 제외한다)이 발행한 주권으로서 상장규정 제44조에 따라 변경상장되는 종목을 말한다.
호,1,총칙,,,제2조제4호,정의,제2조,①,4,0,“합병상장종목”이란 상장규정 제2조제1항제36호에 따른 기업인수목적회사와 주권상장법인이 아닌 법인이 상장규정 제76조에 따라 합병상장되는 종목을 말한다.
항,1,총칙,,,제2조제②항,정의,제2조,②,0,0,② 규정 제2조제6항제3호에서 “세칙이 정하는 가격”이란 다음 각 호의 가격을 말한다.<개정 2009.2.3>
호,1,총칙,,,제2조제1호,정의,제2조,②,1,0,"매도의 최유리지정가호가의 경우 해당 호가의 접수시점에서 가장 높은 매수호가의 가격. 다만, 매수호가가 없는 때에는 가장 낮은 매도호가의 가격보다 1호가가격단위 낮은 가격(하한가를 한도로 한다)으로 하고, 매도호가와 매수호가가 없는 때에는 직전의 가격으로 한다."
호,1,총칙,,,제2조제2호,정의,제2조,②,2,0,"매수의 최유리지정가호가의 경우 해당 호가의 접수시점에서 가장 낮은 매도호가의 가격. 다만, 매도호가가 없는 때에는 가장 높은 매수호가의 가격보다 1호가가격단위 높은 가격(상한가를 한도로 한다)으로 하고, 매도호가와 매수호가가 없는 때에는 직전의 가격으로 한다."
항,1,총칙,,,제2조제③항,정의,제2조,③,0,0,③ 규정 제2조제6항제4호에서 “세칙이 정하는 가격”이란 다음 각 호의 가격을 말한다.<개정 2009.2.3>
호,1,총칙,,,제2조제1호,정의,제2조,③,1,0,"매도의 최우선지정가호가의 경우 가장 낮은 매도호가의 가격. 다만, 매도호가가 없는 때에는 직전의 가격으로 한다."
호,1,총칙,,,제2조제2호,정의,제2조,③,2,0,"매수의 최우선지정가호가의 경우 가장 높은 매수호가의 가격. 다만, 매수호가가 없는 때에는 직전의 가격으로 한다."
항,1,총칙,,,제2조제④항,정의,제2조,④,0,0,"④ 규정 제2조제8항제1호에서 “세칙으로 정하는 지수”란 다음 각 호의 어느 하나에 해당하는 지수(이하 “지수차익거래대상지수”라 한다)를 말한다.<개정 2005.10.14, 2007.8.16, 2009.2.3, 2015.10.27, 2017.2.28, 2018.12.7, 2019.7.11>"
호,1,총칙,,,제2조제1호,정의,제2조,④,1,0,코스닥 150(코스닥시장에 상장된 주권 중 150종목에 대하여 기준일인 2010년 1월 4일의 지수를 1천포인트로 하여 거래소가 산출하는 시가총액방식의 주가지수를 말한다. 이하 같다)
호,1,총칙,,,제2조제2호,정의,제2조,④,2,0,KRX 300(유가증권시장 및 코스닥시장에 상장된 주권 중 300종목에 대하여 기준일인 2010년 1월 4일의 지수를 1천포인트로 하여 거래소가 산출하는 시가총액방식의 주가지수를 말한다. 이하 같다)
항,1,총칙,,,제2조제⑤항,정의,제2조,⑤,0,0,"⑤ 규정 제2조제8항제1호에서 “세칙으로 정하는 형태”란 다음 각 호의 어느 하나에 해당하는 것을 말하며, 2회 이상 분할하여 매수 또는 매도하는 경우를 포함한다.<개정 2005.6.28, 2009.2.3, 2018.3.21, 2018.12.7>"
호,1,총칙,,,제2조제1호,정의,제2조,⑤,1,0,지수차익거래대상지수에 연동되는 주식집단(이하 이 조에서 “주식집단”이라 한다)의 매수와 동시에 또는 매수의 전·후에 같은 지수에 대한 선물거래종목(주가지수합성선물을 포함한다)의 매도(매수계약의 최종 결제를 포함한다)를 하는 거래
호,1,총칙,,,제2조제2호,정의,제2조,⑤,2,0,주식집단의 매도와 동시에 또는 매도의 전·후에 같은 지수에 대한 선물거래종목(주가지수합성선물을 포함한다)의 매수(매도계약의 최종 결제를 포함한다)를 하는 거래
호,1,총칙,,,제2조제3호,정의,제2조,⑤,3,0,삭제<2018.3.21>
호,1,총칙,,,제2조제4호,정의,제2조,⑤,4,0,삭제<2018.3.21>
호,1,총칙,,,제2조제5호,정의,제2조,⑤,5,0,삭제<2018.3.21>
호,1,총칙,,,제2조제6호,정의,제2조,⑤,6,0,삭제<2018.3.21>
항,1,총칙,,,제2조제⑥항,정의,제2조,⑥,0,0,"⑥ 제5항에서 “주가지수합성선물의 매도”란 「파생상품시장 업무규정」 제3조제2항제1호에 따른 국내지수옵션시장의 지수차익거래대상지수 옵션거래(이하 “주가지수옵션거래”라 한다)의 주가지수콜옵션을 매도하고 주가지수풋옵션을 매수하는 것을 말하며, “주가지수합성선물의 매수”란 주가지수옵션거래의 주가지수콜옵션을 매수하고 주가지수풋옵션을 매도하는 것을 말한다.<신설 2018.3.21, 2018.12.7>"
항,1,총칙,,,제2조제⑦항,정의,제2조,⑦,0,0,"⑦ 규정 제2조제8항제2호에서 “세칙으로 정하는 범위의 동일인”은 신탁재산(펀드별)과 고유재산을 기준으로 구분한다.<개정 2009.2.3, 2018.12.7>"
항,1,총칙,,,제2조제⑧항,정의,제2조,⑧,0,0,"⑧ 규정 제2조제8항제2호에서 “세칙으로 정하는 수 이상의 종목”이라 함은 10 이상의 종목을 말한다. 이 경우 종목 수는 매수와 매도를 따로 산정한다.<개정 2009.2.3, 2018.12.7, 2019.1.24>"
항,1,총칙,,,제2조제⑨항,정의,제2조,⑨,0,0,⑨ 제7항 및 제8항에도 불구하고 다음 각 호의 호가는 비차익거래를 위한 호가로 보지 않는다.<신설 2019.1.24>
호,1,총칙,,,제2조제1호,정의,제2조,⑨,1,0,제7조제1항제17호의 유동성공급호가
호,1,총칙,,,제2조제2호,정의,제2조,⑨,2,0,제7조제1항제14호다목의 시장조성계좌를 통하여 제출된 호가
호,1,총칙,,,제2조제3호,정의,제2조,⑨,3,0,"제7조제1항제18호자목부터 타목까지의 호가. 다만, 타목의 경우 시장조성계약에서 달리 정하는 경우는 그러하지 아니하다."
항,1,총칙,,,제2조제⑩항,정의,제2조,⑩,0,0,"⑩ 규정 제2조제16항에서 “세칙으로 정하는 기준”이란 당일의 종류주식의 기준가격이 해당 보통주식의 기준가격을 1. 5배 초과하는 것을 말한다.<신설 2010.1.14, 2012.4.20, 2020.9.21>"
조,2,시장의 운영,,,제3조,삭제,제3조,0,0,0,제3조 삭제<2011.3.3>
항,2,시장의 운영,,,제4조제①항,매매거래시간의 변경,제4조,①,0,0,"① 규정 제4조제4항에서 “시장관리상 필요하다고 인정하는 경우”란 다음 각 호의 어느 하나에 해당하는 경우를 말한다.<개정 2005.6.28, 2007.6.1, 2009.2.3, 2009.12.29>"
호,2,시장의 운영,,,제4조제1호,매매거래시간의 변경,제4조,①,1,0,"코스닥시스템, 회원시스템 그 밖에 이에 준하는 업무를 수행한다고 인정되는 전산시스템의 장애(이하 “전산장애”라 한다)가 발생한 경우"
호,2,시장의 운영,,,제4조제2호,매매거래시간의 변경,제4조,①,2,0,연초의 개장일의 경우
호,2,시장의 운영,,,제4조제3호,매매거래시간의 변경,제4조,①,3,0,그 밖에 거래소가 매매거래시간의 변경이 필요하다고 인정하는 경우
항,2,시장의 운영,,,제4조제②항,매매거래시간의 변경,제4조,②,0,0,"②제1항제1호에 해당하는 경우 정규시장의 매매거래시간은 장애시간만큼 순연하는 것을 원칙으로 하되, 장종료시점의 연장은 거래소가 필요하다고 인정하는 시간까지 할 수 있다. 다만, 전산장애가 매매거래시간 종료시까지 복구되지 아니하는 경우에는 장애발생시점에서 매매거래가 종료된 것으로 본다.<개정 2005.6.28, 2009.2.3>"
항,2,시장의 운영,,,제4조제③항,매매거래시간의 변경,제4조,③,0,0,"③ 제1항제1호에 따른 회원시스템의 장애라 함은 회원별 시스템장애(회원시스템을 통하여 모든 호가를 시장으로 전달할 수 없는 경우로서, 본점·지점 그 밖의 영업소 중 일부영업소 또는 일부지역에 장애가 발생한 경우는 제외한다. 이하 같다)가 발생한 회원의 주식거래량(회원시스템의 장애가 발생한 날이 속하는 월의 전월의 말일을 기산일로 하여 소급한 1년간의 거래량을 기준으로 하며, 회원가입·탈퇴가 있는 경우에는 이를 감안하여 계산한다. 이하 이 항에서 같다)의 합계가 전체 주식거래량의 75% 이상인 경우. 다만, 회원별 시스템장애가 발생한 회원의 주식거래량의 합계가 전체 주식거래량의 75%에 미달하는 경우에도 거래소는 다음 각 호의 시장상황 등을 고려하여 필요하다고 인정하는 경우 제1항제1호에 따른 회원시스템의 장애로 볼 수 있다.<신설 2005.6.28, 2009.2.3, 2013.12.18>"
호,2,시장의 운영,,,제4조제1호,매매거래시간의 변경,제4조,③,1,0,유가증권시장에서 회원별 시스템장애가 발생한 회원의 주식거래량의 합계가 유가증권시장 전체 주식거래량의 75% 이상인 경우
호,2,시장의 운영,,,제4조제2호,매매거래시간의 변경,제4조,③,2,0,회원별 시스템장애 발생으로 정상적인 시장운영이 어려운 경우
조,2,시장의 운영,,,제4조의2,매매거래종류의 지정,제4조의2,0,0,0,규정 제7조의2제4항에서 “세칙에서 정하는 경우”란 다음 각 호의 어느 하나에 해당하는 매매거래를 말한다.
호,2,시장의 운영,,,제4조의2제1호,매매거래종류의 지정,제4조의2,0,1,0,규정 제10조제4항제1호 및 제2호에 따른 주권의 매매거래로서 매도호가와 매수호가가 단일회원의 호가(제7조제3항에 따라 복수로 회원번호를 부여받은 회원의 경우 회원번호가 같은 호가에 한한다. 이하 제24조제2항에서 같다)이고 해당 회원이 호가를 하기 3일 전에 [업무서식 14]에 따른 당일결제거래 신청서를 거래소에 제출하여 거래소가 필요하다고 인정하는 매매거래
호,2,시장의 운영,,,제4조의2제2호,매매거래종류의 지정,제4조의2,0,2,0,규정 제31조의9에 따른 거래소의 매입인도에 따른 매매거래 [전문개정 2011.12.30]
항,2,시장의 운영,,,제4조의3제①항,회원시스템 접속 등에 관한 기준,제4조의3,①,0,0,① 규정 제7조의3제1항에서 “세칙이 정하는 사항”이란 다음 각 호를 말한다.<개정 2014.2.28>
호,2,시장의 운영,,,제4조의3제1호,회원시스템 접속 등에 관한 기준,제4조의3,①,1,0,회원과 거래소간 네트워크의 연결방법
호,2,시장의 운영,,,제4조의3제2호,회원시스템 접속 등에 관한 기준,제4조의3,①,2,0,회원과 거래소간 통신회선 및 세션의 신청·배정방법
호,2,시장의 운영,,,제4조의3제3호,회원시스템 접속 등에 관한 기준,제4조의3,①,3,0,규정 제39조제2항의 보안장치 요건
호,2,시장의 운영,,,제4조의3제4호,회원시스템 접속 등에 관한 기준,제4조의3,①,4,0,회원의 세션 배정·운영기준
호,2,시장의 운영,,,제4조의3제5호,회원시스템 접속 등에 관한 기준,제4조의3,①,5,0,그 밖에 거래소가 시스템의 효율적·안정적 운영을 위하여 필요하다고 인정하는 사항
항,2,시장의 운영,,,제4조의3제②항,회원시스템 접속 등에 관한 기준,제4조의3,②,0,0,"② 제1항에서 “통신회선”이란 회원과 거래소 간의 호가 및 매매계약체결내용 등을 송·수신하는 물리적 회선을 말하며, “세션”이란 회원과 거래소 간의 호가 및 매매계약체결내용 등을 전자적으로 송·수신하는 논리적 회선을 말한다.<개정 2014.2.28> [본조신설 2011.12.28]"
조,3,매매거래,,,제5조,삭제,제5조,0,0,0,제5조 삭제<2007.12.4>
항,3,매매거래,,,제6조제①항,호가접수시간,제6조,①,0,0,"①규정 제9조제1항에서 “세칙이 정하는 호가접수시간”이란 다음 각 호의 시간을 말한다.<개정 2005.5.16, 2007.6.1, 2009.2.3, 2009.3.19, 2009.12.29, 2010.7.29, 2010.12.30, 2014.6.24, 2015.5.19, 2016.6.21, 2019.4.3>"
호,3,매매거래,,,제6조제1호,호가접수시간,제6조,①,1,0,정규시장의 경우 매매거래 유형별로 다음의 각 목에 따른 시간
목,3,매매거래,,,제6조제1호가목,호가접수시간,제6조,①,1,가,가. 나목 및 다목 이외의 매매 : 정규시장의 매매거래시간 개시(이하 “장개시”라 한다) 전 30분부터 매매거래시간 종료(이하 “장종료”라 한다)시까지
목,3,매매거래,,,제6조제1호나목,호가접수시간,제6조,①,1,나,나. 장중대량매매 및 장중바스켓매매 : 장개시시부터 장종료시까지
목,3,매매거래,,,제6조제1호다목,호가접수시간,제6조,①,1,다,다. 장중경쟁대량매매 : 장개시시부터 장종료 30분전까지
호,3,매매거래,,,제6조제2호,호가접수시간,제6조,①,2,0,시간외시장의 경우 다음 각 목의 시간
목,3,매매거래,,,제6조제2호가목,호가접수시간,제6조,①,2,가,"가. 장개시전 시간외시장 : 매매거래의 유형별로 다음의 구분에 따른 시간 (1) 시간외종가매매: 오전 8시 30분부터 오전 8시 40분까지 (2) 시간외대량매매, 시간외바스켓매매 및 시간외경쟁대량매매: 오전 8시부터 오전 9시까지"
목,3,매매거래,,,제6조제2호나목,호가접수시간,제6조,①,2,나,나. 장종료후 시간외시장 : 매매거래의 유형별로 다음의 구분에 따른 시간 (1) 시간외종가매매 : 장종료후부터 오후 4시까지 (2) 시간외단일가매매 : 오후 4시부터 오후 6시(최종 가격을 결정하는 경우에는 당해 가격이 결정되는 시점)까지로 한다 (3) 시간외대량매매 및 시간외바스켓매매 : 오후 3시 40분부터 오후 6시까지
항,3,매매거래,,,제6조제②항,호가접수시간,제6조,②,0,0,②거래소는 다음 각 호의 어느 하나에 해당하는 경우에는 제1항의 호가접수시간을 변경할 수 있다.<개정 2009.2.3>
호,3,매매거래,,,제6조제1호,호가접수시간,제6조,②,1,0,제4조제1항에 따라 매매거래시간을 변경한 때
호,3,매매거래,,,제6조제2호,호가접수시간,제6조,②,2,0,제1호 외에 시장관리상 필요하다고 인정되는 때
항,3,매매거래,,,제7조제①항,호가의 내용,제7조,①,0,0,"①규정 제9조제1항에 따라 회원이 호가를 제출하는 때에는 다음 각 호의 사항이 포함되어야 한다.<개정 2010.7.29, 2011.1.26, 2012.9.24, 2013.3.25, 2013.12.18, 2014.6.24, 2014.12.1, 2015.5.19, 2016.3.25, 2017.2.28, 2018.12.7, 2019.7.11, 2022.12.21>"
호,3,매매거래,,,제7조제1호,호가의 내용,제7조,①,1,0,회원번호
호,3,매매거래,,,제7조제2호,호가의 내용,제7조,①,2,0,지점번호
호,3,매매거래,,,제7조제3호,호가의 내용,제7조,①,3,0,계좌번호
호,3,매매거래,,,제7조제4호,호가의 내용,제7조,①,4,0,시장 구분의 경우 다음 각 목의 구분
목,3,매매거래,,,제7조제4호가목,호가의 내용,제7조,①,4,가,가. 나목부터 라목 외의 매매거래를 위하여 제출하는 호가의 경우 다음의 구분 (1) 장개시전 시간외시장 (2) 정규시장 (3) 장종료후 시간외시장(시간외종가매매를 위한 경우) (4) 장종료후 시간외시장(시간외단일가매매를 위한 경우)
목,3,매매거래,,,제7조제4호나목,호가의 내용,제7조,①,4,나,나. 대량매매(규정 제19조의2의 장중대량매매 및 규정 제21조의 시간외대량매매를 말한다. 이하 같다)를 위하여 제출하는 호가의 경우 다음의 구분 (1) 장개시전 시간외시장 (2) 정규시장 (3) 장종료후 시간외시장
목,3,매매거래,,,제7조제4호다목,호가의 내용,제7조,①,4,다,다. 경쟁대량매매(규정 제19조의3의 장중경쟁대량매매 및 규정 제21조의2의 시간외경쟁대량매매를 말한다. 이하 같다)를 위하여 제출하는 호가의 경우 다음의 구분 (1) 장개시전 시간외시장 (2) 정규시장
목,3,매매거래,,,제7조제4호라목,호가의 내용,제7조,①,4,라,라. 바스켓매매(규정 제19조의4의 장중바스켓매매 및 규정 제21조의4의 시간외바스켓매매를 말한다. 이하 같다)를 위하여 제출하는 호가의 경우 다음의 구분 (1) 장개시전 시간외시장 (2) 정규시장 (3) 장종료후 시간외시장
호,3,매매거래,,,제7조제5호,호가의 내용,제7조,①,5,0,호가 처리의 경우 다음 각 목의 구분
목,3,매매거래,,,제7조제5호가목,호가의 내용,제7조,①,5,가,가. 신규의 호가
목,3,매매거래,,,제7조제5호나목,호가의 내용,제7조,①,5,나,나. 기 제출된 호가의 정정
목,3,매매거래,,,제7조제5호다목,호가의 내용,제7조,①,5,다,다. 기 제출된 호가의 취소
호,3,매매거래,,,제7조제6호,호가의 내용,제7조,①,6,0,주문번호(제출한 호가를 취소 또는 정정하는 경우에는 기 제출한 호가의 주문번호가 포함되어야 한다)
호,3,매매거래,,,제7조제7호,호가의 내용,제7조,①,7,0,종목코드
호,3,매매거래,,,제7조제8호,호가의 내용,제7조,①,8,0,매도 또는 매수의 구분
호,3,매매거래,,,제7조제9호,호가의 내용,제7조,①,9,0,매도 호가의 경우 다음 각 목의 구분
목,3,매매거래,,,제7조제9호가목,호가의 내용,제7조,①,9,가,가. 규정 제9조의2제1항 각 호의 어느 하나에 해당하는 매도 호가
