구분,장번호,장명,절번호,절명,참조번호,조명,조,항,호,목,내용
조,,,,,제1조,목적,제1조,0,0,0,이 세칙은 「파생상품시장 업무규정」의 시행에 필요한 사항을 규정함을 목적으로 한다.<개정 2009.10.26>
조,,,,,제2조,정의,제2조,0,0,0,이 세칙에서 사용하는 용어의 뜻은 다음과 같다.<개정 2014.8.28>
호,,,,,제2조제1호,정의,제2조,0,1,0,“기초자산기준가격”이란 별표 1에서 정하는 기초자산의 가격(그 가격이 없는 경우에는 순차적으로 앞당긴 날의 가격으로 한다)을 말한다.
호,,,,,제2조제2호,정의,제2조,0,2,0,삭제<2009.10.26>
호,,,,,제2조제3호,정의,제2조,0,3,0,“의제약정가격”이란 선물스프레드거래의 성립에 따라 거래가 체결된 것으로 보는 선물거래 결제월종목의 약정가격을 말한다. [전문개정 2009.1.20]
항,,,,,제3조제①항,최유리지정가호가의 가격,제3조,①,0,0,"① 「파생상품시장 업무규정」(이하 “규정”이라 한다) 제2조제1항제15호라목에서 “세칙으로 정하는 가격”이란 다음 각 호의 구분에 따른 가격을 말한다.<개정 2009.10.26, 2014.8.20, 2014.8.28>"
호,,,,,제3조제1호,최유리지정가호가의 가격,제3조,①,1,0,"매도의 최유리지정가호가의 경우: 가장 높은 매수호가의 가격. 다만, 매수호가가 없는 경우에는 가장 낮은 매도호가의 가격에서 호가가격단위를 뺀 가격(그 가격이 제56조 또는 제59조의 하한가보다 낮은 때에는 하한가로 한다)으로 하고, 매도호가와 매수호가가 없는 경우에는 직전약정가격으로 한다. <본문개정 2014.8.20>"
호,,,,,제3조제2호,최유리지정가호가의 가격,제3조,①,2,0,"매수의 최유리지정가호가의 경우: 가장 낮은 매도호가의 가격. 다만, 매도호가가 없는 경우에는 가장 높은 매수호가의 가격에 호가가격단위를 더한 가격(그 가격이 제56조 또는 제59조의 상한가보다 높은 때에는 상한가로 한다)으로 하고, 매도호가와 매수호가가 없는 경우에는 직전약정가격으로 한다. <본문개정 2014.8.20>"
항,,,,,제3조제②항,최유리지정가호가의 가격,제3조,②,0,0,"② 제1항에도 불구하고 제1항제1호에 따른 가격이 실시간하한가(규정 제70조의2제1항에 따른 실시간하한가를 말한다. 이하 같다)보다 낮게 되는 경우에는 실시간하한가를 매도의 최유리지정가호가의 가격으로 하고, 제1항제2호에 따른 가격이 실시간상한가(규정 제70조의2제1항에 따른 실시간상한가를 말한다. 이하 같다)보다 높게 되는 경우에는 실시간상한가를 매수의 최유리지정가호가의 가격으로 한다.<신설 2014.8.20> [전문개정 2014.8.20]"
조,,,,,제3조의2,시장의 구분,제3조의2,0,0,0,규정 제3조제3항에 따른 세부 시장의 구분은 별표 1의2 제1호와 같다.<개정 2023.7.18> [본조신설 2017.3.13]
항,,,,,제3조의3제①항,거래시간,제3조의3,①,0,0,① 규정 제4조제1항 단서에 따라 정규거래시간을 달리 정할 수 있는 시장의 정규거래시간은 별표 1의2 제2호와 같다.<개정 2023.7.18>
항,,,,,제3조의3제②항,거래시간,제3조의3,②,0,0,② 규정 제4조제2항에 따라 최종거래일이 도래한 종목(선물스프레드거래의 경우에는 선물스프레드를 구성하는 선물거래의 2개 종목 중 최종거래일이 도래한 종목이 있는 종목으로 한다)의 정규거래시간은 별표 1의2 제3호와 같다.<개정 2023.7.18> [전문개정 2017.3.13]
조,,,,,제4조,시스템장애에 의한 거래시간의 변경,제4조,0,0,0,"규정 제4조제4항제1호에서 “세칙으로 정하는 경우”란 다음 각 호의 어느 하나에 해당하는 경우를 말한다.<개정 2010.12.10, 2014.8.28, 2017.3.13>"
호,,,,,제4조제1호,시스템장애에 의한 거래시간의 변경,제4조,0,1,0,거래소파생상품시스템에 장애가 발생하여 10분 이상 호가의 접수 또는 거래계약의 체결 등을 할 수 없다고 인정되는 상품시장(제3조의2에 따른 세부 시장을 말한다. 이하 같다)의 경우
